Stop,Hua,AC,Skl,YG,ACb,OV,DH,WY,HL,HT,SHT,TJY,OT,IB,TC,AH,JLQ,HZL,LW,WZ,HYb,HY,LSY,MXY,SL,BD,BDb,MQ,KME,FL
Hua,0,11.64,41.49,14.14,10.88,12.1,15.84,20.3,16.57,13.3,12.11,27.33,31.16,41.28,49.5,49.48,42.71,23.88,25.5,23.57,24.68,26.47,37.78,37.09,29.83,28.95,29.09,23.11,30.87,21.75
AC,11.64,0,37.36,10.06,5.01,7.12,10.42,17.05,7.49,7.53,6.01,20.08,25.33,35.7,45.46,43.63,39.46,20.14,20.1,18.93,19.57,21.49,32.79,31.9,24.61,23.88,23.57,17.6,25.81,17.86
Skl,41.49,37.36,0,39.68,36.31,37.69,39.5,35.93,41.85,43.3,41.3,48.09,50.89,48.77,50.4,46.6,26.37,27.32,21.95,27.46,24.14,23.62,13.54,12.44,20.49,21.41,19.34,25.72,17.96,30.01
YG,14.14,10.06,39.68,0,9.14,11.96,17.08,19.88,15.45,13.05,10.78,28.1,31.85,42.59,49.73,49.47,43.49,24.14,24.13,23.82,24.77,25.84,32.79,31.7,27.63,27.92,27.97,23.76,28.73,21.89
ACb,10.88,5.01,36.31,9.14,0,9.99,13.25,17.82,11.05,8.58,6.17,22.52,27.15,37.59,46.4,46.11,40.63,21.34,22.81,20.81,21.96,23.77,35.56,34.33,26.9,26.06,26.31,20.29,28.16,19.32
OV,12.1,7.12,37.69,11.96,9.99,0,8.92,13.66,9.58,11.58,9.68,22.01,27.14,37.11,47.34,45.27,36.98,17.27,19.16,17.1,18.27,20.11,32.12,31.29,23.78,22.39,22.91,16.53,24.55,15.29
DH,15.84,10.42,39.5,17.08,13.25,8.92,0,10.93,11.33,13.57,11.38,23.91,28.71,37.6,49.91,47.24,33.66,14.21,14.3,13.15,13.74,15.86,27.06,26.11,18.88,18.16,17.85,11.94,19.88,12.06
WY,20.3,17.05,35.93,19.88,17.82,13.66,10.93,0,14.09,15.7,13.56,20.12,23.96,33.23,43.65,41.89,32.67,13.94,15.47,13.19,14.57,15.37,28.57,28.06,20.75,18.14,19.07,13.89,21.3,12.9
HL,16.57,7.49,41.85,15.45,11.05,9.58,11.33,14.09,0,12.05,10.82,18.34,22.73,31.61,43.2,41.55,37.37,20.98,19.9,18.92,19.67,21.46,33.19,32.14,24.3,23.54,23.7,17.61,25.76,17.87
HT,13.3,7.53,43.3,13.05,8.58,11.58,13.57,15.7,12.05,0,7.82,17.52,22.54,32.71,41.73,41.96,40.04,25.44,25.09,24.46,24.66,26.44,38,36.22,29.19,28.91,28.47,22.49,30.47,22.95
SHT,12.11,6.01,41.3,10.78,6.17,9.68,11.38,13.56,10.82,7.82,0,20.79,24.38,35.5,44.89,44.51,39.13,21.55,21.39,20.13,20.87,22.74,34.13,33.37,25.94,24.95,24.76,18.94,26.92,19.44
TJY,27.33,20.08,48.09,28.1,22.52,22.01,23.91,20.12,18.34,17.52,20.79,0,10.5,19.44,29.12,26.98,32.03,25.73,25,24.1,23.96,24.24,35.56,34.72,29.78,27.1,27.97,26.15,30.51,26.45
OT,31.16,25.33,50.89,31.85,27.15,27.14,28.71,23.96,22.73,22.54,24.38,10.5,0,14.21,20.86,21.82,28.42,33.44,35.82,33.63,34.8,35.66,43.71,44.58,37.92,37.15,37.82,34.92,37.44,35.69
IB,41.28,35.7,48.77,42.59,37.59,37.11,37.6,33.23,31.61,32.71,35.5,19.44,14.21,0,15.52,10.58,16.15,32.61,33.93,33.06,33.5,34.08,38.86,38.61,37.65,34.59,33.94,34.92,36.25,36.12
TC,49.5,45.46,50.4,49.73,46.4,47.34,49.91,43.65,43.2,41.73,44.89,29.12,20.86,15.52,2.04,8.52,15.85,35.53,35.15,37.16,35.75,35.37,40.16,38.67,39.09,34.56,33.73,38.8,37.24,40.71
AH,49.48,43.63,46.6,49.47,46.11,45.27,47.24,41.89,41.55,41.96,44.51,26.98,21.82,10.58,8.52,0.34,10.39,29.79,29.48,32.03,30.48,29.35,34.81,33.99,33.27,28.33,28.22,33.04,31.19,35.27
JLQ,42.71,39.46,26.37,43.49,40.63,36.98,33.66,32.67,37.37,40.04,39.13,32.03,28.42,16.15,15.85,10.39,0,23.53,22.8,25.33,23.5,22.83,29.26,28.16,26.6,21.62,21.18,26.08,24.27,28.64
HZL,23.88,20.14,27.32,24.14,21.34,17.27,14.21,13.94,20.98,25.44,21.55,25.73,33.44,32.61,35.53,29.79,23.53,0,9.86,5.99,5.75,8.93,23.89,23.11,14.12,10.43,11.32,6.97,14.17,6.98
LW,25.5,20.1,21.95,24.13,22.81,19.16,14.3,15.47,19.9,25.09,21.39,25,35.82,33.93,35.15,29.48,22.8,9.86,0,7.59,7.64,4.83,16.6,16.22,9.11,7.27,5.08,7.67,7.45,11.45
WZ,23.57,18.93,27.46,23.82,20.81,17.1,13.15,13.19,18.92,24.46,20.13,24.1,33.63,33.06,37.16,32.03,25.33,5.99,7.59,0,4.78,7.01,20.24,19.83,11.29,9.58,9.73,4.15,11.76,8.83
