Stop,latitude,longitude
Hua,117.12876,39.087165
AC,117.165269,39.079597
Skl,117.2727,39.057217
YG,117.152637,39.070702
ACb,117.158677,39.07499
OV,117.170351,39.073989
DH,117.180851,39.073771
WY,117.195839,39.074756
HL,117.179065,39.083842
HT,117.156817,39.094763
SHT,117.159593,39.079346
TJY,117.192582,39.092414
OT,117.193123,39.106958
IB,117.208896,39.116207
TC,117.210735,39.131467
AH,117.216833,39.121531
JLQ,117.241656,39.091225
HZL,117.210725,39.061296
LW,117.22046,39.050589
WZ,117.211198,39.055343
HYb,117.215771,39.056876
HY,117.216989,39.053903
LSY,117.259416,39.043829
MXY,117.264239,39.039881
SL,117.228439,39.034976
BD,117.223189,39.053722
BDb,117.225132,39.051113
MQ,117.204704,39.056229
KME,117.231667,39.039212
FL,117.203776,39.060764
